,0
1114,1836-09-01
1115,1836-10-01
1116,1836-11-01
1117,1836-12-01
1118,1837-01-01
1119,1837-02-01
1120,1837-03-01
1121,1837-04-01
1122,1837-05-01
1123,1837-06-01
1124,1837-07-01
1125,1837-08-01
1126,1837-09-01
1127,1837-10-01
1128,1837-11-01
1129,1837-12-01
1130,1838-01-01
1131,1838-02-01
1132,1838-03-01
1133,1838-04-01
1134,1838-05-01
1135,1838-06-01
1136,1838-07-01
1137,1838-08-01
1138,1838-09-01
1139,1838-10-01
1140,1838-11-01
1141,1838-12-01
1142,1839-01-01
1143,1839-02-01
1144,1839-03-01
1145,1839-04-01
1146,1839-05-01
1147,1839-06-01
1148,1839-07-01
1149,1839-08-01
1150,1839-09-01
1151,1839-10-01
1152,1839-11-01
1153,1839-12-01
1154,1840-01-01
1155,1840-02-01
1156,1840-03-01
1157,1840-04-01
1158,1840-05-01
1159,1840-06-01
1160,1840-07-01
1161,1840-08-01
1162,1840-09-01
1163,1840-10-01
1164,1840-11-01
1165,1840-12-01
1166,1841-01-01
1167,1841-02-01
1168,1841-03-01
1169,1841-04-01
1170,1841-05-01
1171,1841-06-01
1172,1841-07-01
1173,1841-08-01
1174,1841-09-01
1175,1841-10-01
1176,1841-11-01
1177,1841-12-01
1178,1842-01-01
1179,1842-02-01
1180,1842-03-01
1181,1842-04-01
1182,1842-05-01
1183,1842-06-01
1184,1842-07-01
1185,1842-08-01
1186,1842-09-01
1187,1842-10-01
1188,1842-11-01
1189,1842-12-01
1190,1843-01-01
1191,1843-02-01
1192,1843-03-01
1193,1843-04-01
1194,1843-05-01
1195,1843-06-01
1196,1843-07-01
1197,1843-08-01
1198,1843-09-01
1199,1843-10-01
1200,1843-11-01
1201,1843-12-01
1202,1844-01-01
1203,1844-02-01
1204,1844-03-01
1205,1844-04-01
1206,1844-05-01
1207,1844-06-01
1208,1844-07-01
1209,1844-08-01
1210,1844-09-01
1211,1844-10-01
1212,1844-11-01
1213,1844-12-01
1214,1845-01-01
1215,1845-02-01
1216,1845-03-01
1217,1845-04-01
1218,1845-05-01
1219,1845-06-01
1220,1845-07-01
1221,1845-08-01
1222,1845-09-01
1223,1845-10-01
1224,1845-11-01
1225,1845-12-01
1226,1846-01-01
1227,1846-02-01
1228,1846-03-01
1229,1846-04-01
1230,1846-05-01
1231,1846-06-01
1232,1846-07-01
1233,1846-08-01
1234,1846-09-01
1235,1846-10-01
1236,1846-11-01
1237,1846-12-01
1238,1847-01-01
1239,1847-02-01
1240,1847-03-01
1241,1847-04-01
1242,1847-05-01
1243,1847-06-01
1244,1847-07-01
1245,1847-08-01
1246,1847-09-01
1247,1847-10-01
1248,1847-11-01
1249,1847-12-01
1250,1848-01-01
1251,1848-02-01
1252,1848-03-01
1253,1848-04-01
1254,1848-05-01
